OPR_HR,jan_mean,jan_std,apr_mean,apr_std,jul_mean,jul_std,oct_mean,oct_std
1,54.2565188172043,31.765096271092215,31.36279355555556,7.166950474476468,47.19781967741935,10.761031804011788,48.73115838709678,9.998034637185313
2,52.62430376344086,30.29440005206037,30.278311444444444,6.635774651588981,44.57775688172043,9.321642334594843,46.5625323655914,8.973037293179495
3,52.00550419354838,30.195012277277222,29.43139777777778,6.2800756284549655,42.807445268817204,8.225737996377669,45.51425408602151,8.460294408252022
4,51.75723612903226,30.116896025707714,29.176418444444444,6.437771766872202,42.13212709677419,7.9799537918894226,45.069307096774196,8.32765826081503
5,52.89571258064516,30.534551739630533,30.013085222222223,6.617608166670552,42.6712664516129,8.02594219186373,45.50768344086022,8.475659684696666
6,57.23956204301075,32.49222297764734,33.560542222222224,8.209124009782403,44.58603204301075,8.324439883663478,48.74496129032258,9.731225470823205
7,62.748543870967744,34.483094760656485,37.04973511111111,10.297603504780183,45.05811677419354,11.4839532833821,55.15415838709677,13.289518545545272
8,59.96889279569893,33.239959167303795,23.916133888888886,11.065876017153492,34.474388387096774,11.455397955408477,51.51814946236559,12.585063360939927
9,45.44002193548388,28.228595021969994,7.857894777777778,9.61350178242848,31.356141935483873,11.499909284202813,34.32726064516129,12.269016158905414
10,37.38360150537634,25.330626837674316,2.0739874444444446,9.317138902827228,31.29900322580645,11.838260201393908,27.871814408602148,11.736778133053685
11,33.89913602150538,23.69949953380895,-2.132521,9.185974417914757,31.584528924731185,12.664529624639634,25.792245806451614,11.395314751287549
12,31.78596129032258,22.678639470399958,-4.535000777777778,9.400160307292188,32.78046086021505,13.754293068539406,24.847487526881718,11.766445818625773
13,29.23041688172043,21.837481950506724,-6.168283000000001,9.32029221839504,34.38220333333334,15.356534758475282,25.021120107526883,12.734354201412215
14,27.32616548387097,21.894023905834413,-6.962223555555555,9.30035087374342,37.15301602150537,17.91525119249119,25.979203118279568,13.957829242610071
15,29.489323440860215,23.077374739101188,-6.930515333333334,9.311322684448678,41.707015913978495,21.058009516388566,27.775653440860214,15.945082326922417
16,40.15958193548387,27.300816697294742,-6.116612222222222,9.223212915892672,45.99646774193549,22.346435744697544,32.049474193548384,18.73876819820854
17,59.04853795698925,34.20233819205156,-2.639155111111111,9.116925506795779,49.376307526881725,23.970591228532317,42.76477655913979,21.525178488731132
18,62.62746344086021,36.70732030008184,8.352934,9.534020182060836,58.36913913978494,27.32387760174624,66.53103247311827,32.821130544466904
19,61.912490537634405,36.37198321136158,32.23724611111111,9.588717284345671,79.7007035483871,48.42335382556427,78.86209150537634,48.86578174512248
20,61.12772784946236,36.094882471395216,37.44031433333333,11.274521675421463,120.6417734408602,95.82845148378222,66.06685064516128,27.61864724746284
21,60.62054247311828,35.74397308481653,36.28025866666667,10.32581868885353,91.04899268817204,55.28564266777386,60.718349784946234,20.342664737153697
22,60.26351956989247,35.42011915637474,34.255382777777776,9.13370332082967,68.98376946236559,27.68005761704394,58.83014806451613,18.3756584522258
23,58.0526394623656,33.631124631993515,32.433123555555554,8.249671970900373,57.012165161290326,17.453519541801505,54.118516559139785,13.752339692942014
24,55.47582526881721,32.5458531808126,31.12165622222222,7.722166866882122,51.801144516129035,14.469752278124762,50.731227741935484,11.730903222196373
