INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2024-01-01T16:00:00-00:00,2024-01-01T17:00:00-00:00,2024-01-01,9,0,CLAP_AEPCO-APND,CLAP_AEPCO-APND,CLAP_AEPCO-APND,DAM,LMP,LMP_PRC,CLAP_AEPCO-APND,ALL_APNODES,0,37.81377,1
2024-01-01T12:00:00-00:00,2024-01-01T13:00:00-00:00,2024-01-01,5,0,CLAP_AEPCO-APND,CLAP_AEPCO-APND,CLAP_AEPCO-APND,DAM,LMP,LMP_PRC,CLAP_AEPCO-APND,ALL_APNODES,0,43.55611,1
2024-01-01T14:00:00-00:00,2024-01-01T15:00:00-00:00,2024-01-01,7,0,CLAP_AEPCO-APND,CLAP_AEPCO-APND,CLAP_AEPCO-APND,DAM,LMP,LMP_PRC,CLAP_AEPCO-APND,ALL_APNODES,0,43.71368,1
2024-01-02T00:00:00-00:00,2024-01-02T01:00:00-00:00,2024-01-01,17,0,CLAP_AEPCO-APND,CLAP_AEPCO-APND,CLAP_AEPCO-APND,DAM,LMP,LMP_PRC,CLAP_AEPCO-APND,ALL_APNODES,0,48.76899,1
2024-01-02T02:00:00-00:00,2024-01-02T03:00:00-00:00,2024-01-01,19,0,CLAP_AEPCO-APND,CLAP_AEPCO-APND,CLAP_AEPCO-APND,DAM,LMP,LMP_PRC,CLAP_AEPCO-APND,ALL_APNODES,0,49.72397,1
2024-01-02T05:00:00-00:00,2024-01-02T06:00:00-00:00,2024-01-01,22,0,CLAP_AEPCO-APND,CLAP_AEPCO-APND,CLAP_AEPCO-APND,DAM,LMP,LMP_PRC,CLAP_AEPCO-APND,ALL_APNODES,0,49.28714,1
2024-01-01T19:00:00-00:00,2024-01-01T20:00:00-00:00,2024-01-01,12,0,CLAP_AEPCO-APND,CLAP_AEPCO-APND,CLAP_AEPCO-APND,DAM,LMP,LMP_PRC,CLAP_AEPCO-APND,ALL_APNODES,0,27.41438,1
2024-01-01T20:00:00-00:00,2024-01-01T21:00:00-00:00,2024-01-01,13,0,CLAP_AEPCO-APND,CLAP_AEPCO-APND,CLAP_AEPCO-APND,DAM,LMP,LMP_PRC,CLAP_AEPCO-APND,ALL_APNODES,0,26.05268,1
2024-01-02T03:00:00-00:00,2024-01-02T04:00:00-00:00,2024-01-01,20,0,CLAP_AEPCO-APND,CLAP_AEPCO-APND,CLAP_AEPCO-APND,DAM,LMP,LMP_PRC,CLAP_AEPCO-APND,ALL_APNODES,0,49.70242,1
2024-01-01T08:00:00-00:00,2024-01-01T09:00:00-00:00,2024-01-01,1,0,CLAP_AEPCO-APND,CLAP_AEPCO-APND,CLAP_AEPCO-APND,DAM,LMP,LMP_PRC,CLAP_AEPCO-APND,ALL_APNODES,0,45.41332,1
2024-01-01T10:00:00-00:00,2024-01-01T11:00:00-00:00,2024-01-01,3,0,CLAP_AEPCO-APND,CLAP_AEPCO-APND,CLAP_AEPCO-APND,DAM,LMP,LMP_PRC,CLAP_AEPCO-APND,ALL_APNODES,0,44.31179,1
2024-01-01T17:00:00-00:00,2024-01-01T18:00:00-00:00,2024-01-01,10,0,CLAP_AEPCO-APND,CLAP_AEPCO-APND,CLAP_AEPCO-APND,DAM,LMP,LMP_PRC,CLAP_AEPCO-APND,ALL_APNODES,0,31.89041,1
2024-01-02T06:00:00-00:00,2024-01-02T07:00:00-00:00,2024-01-01,23,0,CLAP_AEPCO-APND,CLAP_AEPCO-APND,CLAP_AEPCO-APND,DAM,LMP,LMP_PRC,CLAP_AEPCO-APND,ALL_APNODES,0,49.05895,1
2024-01-01T21:00:00-00:00,2024-01-01T22:00:00-00:00,2024-01-01,14,0,CLAP_AEPCO-APND,CLAP_AEPCO-APND,CLAP_AEPCO-APND,DAM,LMP,LMP_PRC,CLAP_AEPCO-APND,ALL_APNODES,0,25.99049,1
2024-01-01T23:00:00-00:00,2024-01-02T00:00:00-00:00,2024-01-01,16,0,CLAP_AEPCO-APND,CLAP_AEPCO-APND,CLAP_AEPCO-APND,DAM,LMP,LMP_PRC,CLAP_AEPCO-APND,ALL_APNODES,0,37.45439,1
